"Avalanch","Pinecones on Mars","The winner is Pinecones on Mars"
"2","997","1"
"rock","5212219","paper","5164742","Pinecones on Mars won"
"rock","4240918","paper","5039069","Pinecones on Mars won"
"rock","4195989","paper","4992160","Pinecones on Mars won"
"rock","8206540","paper","9013577","Pinecones on Mars won"
"rock","3128635","paper","7626663","Pinecones on Mars won"
"rock","5376371","paper","6218740","Pinecones on Mars won"
"rock","7716142","paper","7774814","Pinecones on Mars won"
"rock","3824631","paper","4629846","Pinecones on Mars won"
"rock","3867963","paper","4697112","Pinecones on Mars won"
"rock","4898222","paper","5714433","Pinecones on Mars won"
"rock","4216354","paper","5074916","Pinecones on Mars won"
"rock","3793278","paper","4637936","Pinecones on Mars won"
"rock","3771068","paper","4884410","Pinecones on Mars won"
"rock","3829588","paper","4677867","Pinecones on Mars won"
"rock","4332923","paper","4055828","Pinecones on Mars won"
"rock","3699969","paper","8761307","Pinecones on Mars won"
"rock","3830439","paper","4682667","Pinecones on Mars won"
"rock","4156097","paper","5004998","Pinecones on Mars won"
"rock","4433936","paper","5343492","Pinecones on Mars won"
"rock","13674246","paper","4310713","Pinecones on Mars won"
"rock","5952905","paper","6970180","Pinecones on Mars won"
"rock","4755421","paper","5735053","Pinecones on Mars won"
"rock","4725013","paper","4455475","Pinecones on Mars won"
"rock","4112017","paper","5003501","Pinecones on Mars won"
"rock","5050847","paper","5100446","Pinecones on Mars won"
"rock","7524664","paper","7239756","Pinecones on Mars won"
"rock","4694031","paper","4753166","Pinecones on Mars won"
"rock","4596128","paper","4295112","Pinecones on Mars won"
"rock","6964989","paper","8129988","Pinecones on Mars won"
"rock","5303219","paper","5357789","Pinecones on Mars won"
"rock","6377225","paper","7305495","Pinecones on Mars won"
"rock","4108630","paper","6458476","Pinecones on Mars won"
"rock","6557556","paper","6609542","Pinecones on Mars won"
"rock","6466035","paper","8600580","Pinecones on Mars won"
"rock","6747117","paper","7691538","Pinecones on Mars won"
"rock","4212279","paper","5172870","Pinecones on Mars won"
"rock","3905275","paper","4882872","Pinecones on Mars won"
"rock","3702462","paper","4951110","Pinecones on Mars won"
"rock","5800199","paper","5514481","Pinecones on Mars won"
"rock","3642998","paper","4615479","Pinecones on Mars won"
"rock","5685294","paper","5734783","Pinecones on Mars won"
"rock","4057281","paper","5084622","Pinecones on Mars won"
"rock","4140047","paper","5160231","Pinecones on Mars won"
"rock","3983907","paper","5003661","Pinecones on Mars won"
"rock","3990276","paper","4997784","Pinecones on Mars won"
"rock","4158095","paper","5186318","Pinecones on Mars won"
"rock","3988131","paper","5220779","Pinecones on Mars won"
"rock","3776482","paper","5260812","Pinecones on Mars won"
"rock","4056429","paper","5303507","Pinecones on Mars won"
"rock","7826628","paper","7513444","Pinecones on Mars won"
"rock","5739856","paper","5463312","Pinecones on Mars won"
"rock","3774769","paper","5027811","Pinecones on Mars won"
"rock","5595967","paper","5321680","Pinecones on Mars won"
"rock","4789062","paper","11500906","Pinecones on Mars won"
"rock","5916286","paper","5636885","Pinecones on Mars won"
"rock","3720477","paper","5014671","Pinecones on Mars won"
"rock","3931838","paper","6635920","Pinecones on Mars won"
"rock","7031174","paper","6738891","Pinecones on Mars won"
"rock","7226588","paper","8565069","Pinecones on Mars won"
"rock","3328621","paper","4654920","Pinecones on Mars won"
"rock","9768861","paper","9473726","Pinecones on Mars won"
"rock","7018058","paper","8352516","Pinecones on Mars won"
"rock","3643116","paper","4970671","Pinecones on Mars won"
"rock","5535493","paper","5266555","Pinecones on Mars won"
"rock","7239118","paper","8605244","Pinecones on Mars won"
"rock","3636426","paper","4986482","Pinecones on Mars won"
"rock","6208489","paper","5338968","Pinecones on Mars won"
"rock","6545469","paper","7905166","Pinecones on Mars won"
"rock","3660683","paper","5031629","Pinecones on Mars won"
"rock","5552284","paper","5282702","Pinecones on Mars won"
"rock","3219721","paper","4599558","Pinecones on Mars won"
"rock","5908991","paper","5896706","Pinecones on Mars won"
"rock","3644579","paper","5031667","Pinecones on Mars won"
"rock","5121987","paper","4871148","Pinecones on Mars won"
"rock","5892116","paper","5648970","Pinecones on Mars won"
"rock","3052840","paper","8152675","Pinecones on Mars won"
"rock","3885832","paper","5306105","Pinecones on Mars won"
"rock","3998402","paper","5424187","Pinecones on Mars won"
"rock","7314304","paper","5785014","Pinecones on Mars won"
"rock","5179178","paper","6623121","Pinecones on Mars won"
"rock","3557320","paper","5003238","Pinecones on Mars won"
"rock","8194552","paper","10821453","Pinecones on Mars won"
"rock","4425156","paper","5950214","Pinecones on Mars won"
"rock","4862699","paper","6397899","Pinecones on Mars won"
"rock","4579917","paper","4320995","Pinecones on Mars won"
"rock","5639894","paper","5366736","Pinecones on Mars won"
"rock","3432932","paper","8143983","Pinecones on Mars won"
"rock","4655689","paper","6275991","Pinecones on Mars won"
"rock","8723636","paper","8439708","Pinecones on Mars won"
"rock","4814427","paper","8492151","Pinecones on Mars won"
"rock","4621026","paper","6016246","Pinecones on Mars won"
"rock","8968845","paper","8703656","Pinecones on Mars won"
"rock","3601769","paper","4983331","Pinecones on Mars won"
"rock","5235357","paper","6105686","Pinecones on Mars won"
"rock","4954991","paper","4707409","Pinecones on Mars won"
"rock","6853497","paper","6565085","Pinecones on Mars won"
"rock","4938499","paper","6401253","Pinecones on Mars won"
"rock","10214650","paper","10158480","Pinecones on Mars won"
"rock","6083256","paper","7671806","Pinecones on Mars won"
"rock","3324233","paper","9158031","Pinecones on Mars won"
"rock","7420560","paper","8893075","Pinecones on Mars won"
"rock","3434547","paper","8418030","Pinecones on Mars won"
"rock","4936204","paper","7919511","Pinecones on Mars won"
"rock","3828745","paper","5248556","Pinecones on Mars won"
"rock","9684110","paper","9393944","Pinecones on Mars won"
"rock","10576380","paper","11918262","Pinecones on Mars won"
"rock","6896356","paper","9947095","Pinecones on Mars won"
"rock","4675836","paper","6261355","Pinecones on Mars won"
"rock","8303779","paper","9220988","Pinecones on Mars won"
"rock","3052430","paper","8794516","Pinecones on Mars won"
"rock","3206187","paper","8729076","Pinecones on Mars won"
"rock","3697484","paper","5254320","Pinecones on Mars won"
"rock","5628795","paper","11977224","Pinecones on Mars won"
"rock","4016954","paper","5619378","Pinecones on Mars won"
"rock","6771134","paper","6574873","Pinecones on Mars won"
"rock","8148225","paper","8198894","Pinecones on Mars won"
"rock","3890248","paper","5576262","Pinecones on Mars won"
"rock","5793586","paper","5528477","Pinecones on Mars won"
"rock","6320033","paper","6060611","Pinecones on Mars won"
"rock","7632293","paper","8299228","Pinecones on Mars won"
"rock","3169402","paper","8361995","Pinecones on Mars won"
"rock","3746646","paper","5405968","Pinecones on Mars won"
"rock","9400744","paper","9115222","Pinecones on Mars won"
"rock","3407371","paper","8631130","Pinecones on Mars won"
"rock","3737549","paper","5405659","Pinecones on Mars won"
"rock","5492540","paper","5217932","Pinecones on Mars won"
"rock","12897875","paper","12603499","Pinecones on Mars won"
"rock","3477591","paper","5289104","Pinecones on Mars won"
"rock","10649808","paper","9028140","Pinecones on Mars won"
"rock","5668090","paper","7383498","Pinecones on Mars won"
"rock","3334916","paper","5069366","Pinecones on Mars won"
"rock","15597749","paper","18914148","Pinecones on Mars won"
"rock","4616999","paper","7757903","Pinecones on Mars won"
"rock","11849360","paper","12024511","Pinecones on Mars won"
"rock","5650134","paper","7417880","Pinecones on Mars won"
"rock","7211201","paper","9014141","Pinecones on Mars won"
"rock","3152353","paper","8792814","Pinecones on Mars won"
"rock","7446716","paper","9272996","Pinecones on Mars won"
"rock","6018943","paper","7929220","Pinecones on Mars won"
"rock","6798188","paper","8641363","Pinecones on Mars won"
"rock","2985415","paper","8495207","Pinecones on Mars won"
"rock","3532026","paper","5350651","Pinecones on Mars won"
"rock","9211397","paper","8935935","Pinecones on Mars won"
"rock","7478102","paper","9109441","Pinecones on Mars won"
"rock","8038458","paper","7784585","Pinecones on Mars won"
"rock","3231182","paper","8824531","Pinecones on Mars won"
"rock","5380042","paper","10004516","Pinecones on Mars won"
"rock","3145240","paper","8023860","Pinecones on Mars won"
"rock","3564939","paper","5471517","Pinecones on Mars won"
"rock","8058838","paper","7809727","Pinecones on Mars won"
"rock","4368815","paper","6279668","Pinecones on Mars won"
"rock","5764339","paper","5530017","Pinecones on Mars won"
"rock","8959441","paper","8725367","Pinecones on Mars won"
"rock","3208406","paper","5157190","Pinecones on Mars won"
"rock","9368190","paper","9125358","Pinecones on Mars won"
"rock","6883243","paper","8864128","Pinecones on Mars won"
"rock","3308985","paper","10008377","Pinecones on Mars won"
"rock","7826931","paper","10061152","Pinecones on Mars won"
"rock","5793820","paper","5534209","Pinecones on Mars won"
"rock","8513742","paper","9479104","Pinecones on Mars won"
"rock","6680398","paper","8731623","Pinecones on Mars won"
"rock","2970397","paper","11134087","Pinecones on Mars won"
"rock","4470121","paper","6632479","Pinecones on Mars won"
"rock","9260351","paper","8998127","Pinecones on Mars won"
"rock","3160461","paper","5493824","Pinecones on Mars won"
"rock","8459347","paper","8412526","Pinecones on Mars won"
"rock","3944554","paper","6057153","Pinecones on Mars won"
"rock","9275099","paper","9035313","Pinecones on Mars won"
"rock","7212102","paper","9337782","Pinecones on Mars won"
"rock","6733468","paper","8862813","Pinecones on Mars won"
"rock","9180193","paper","9219304","Pinecones on Mars won"
"rock","5834106","paper","8002614","Pinecones on Mars won"
"rock","5201048","paper","7404610","Pinecones on Mars won"
"rock","4497781","paper","6685123","Pinecones on Mars won"
"rock","5761113","paper","5525689","Pinecones on Mars won"
"rock","9153461","paper","8902118","Pinecones on Mars won"
"rock","9240346","paper","9282883","Pinecones on Mars won"
"rock","6811519","paper","9159279","Pinecones on Mars won"
"rock","8012186","paper","10532199","Pinecones on Mars won"
"rock","7228873","paper","6991384","Pinecones on Mars won"
"rock","3566200","paper","5856708","Pinecones on Mars won"
"rock","6671233","paper","10261117","Pinecones on Mars won"
"rock","15893705","paper","18259206","Pinecones on Mars won"
"rock","7884136","paper","10209243","Pinecones on Mars won"
"rock","6694905","paper","9022987","Pinecones on Mars won"
"rock","9194972","paper","9236467","Pinecones on Mars won"
"rock","9236498","paper","9276908","Pinecones on Mars won"
"rock","5510175","paper","7893067","Pinecones on Mars won"
"rock","7748872","paper","10120924","Pinecones on Mars won"
"rock","9135981","paper","9176089","Pinecones on Mars won"
"rock","9234701","paper","9355237","Pinecones on Mars won"
"rock","5428477","paper","7681981","Pinecones on Mars won"
"rock","5862655","paper","8303048","Pinecones on Mars won"
"rock","7556437","paper","9992044","Pinecones on Mars won"
"rock","6611360","paper","9050351","Pinecones on Mars won"
"rock","6843086","paper","9320299","Pinecones on Mars won"
"rock","6260950","paper","8739396","Pinecones on Mars won"
"rock","7854065","paper","7908617","Pinecones on Mars won"
"rock","9814251","paper","9569394","Pinecones on Mars won"
"rock","4449282","paper","8505030","Pinecones on Mars won"
"rock","4974362","paper","9089813","Pinecones on Mars won"
"rock","3814069","paper","6479777","Pinecones on Mars won"
"rock","9231898","paper","8990917","Pinecones on Mars won"
"rock","6367511","paper","8960062","Pinecones on Mars won"
"rock","6654284","paper","9223281","Pinecones on Mars won"
"rock","6505713","paper","9100818","Pinecones on Mars won"
"rock","6434562","paper","10557230","Pinecones on Mars won"
"rock","7484397","paper","10204602","Pinecones on Mars won"
"rock","10586804","paper","10349429","Pinecones on Mars won"
"rock","6468380","paper","9121186","Pinecones on Mars won"
"rock","9083246","paper","9043483","Pinecones on Mars won"
"rock","6449996","paper","9130254","Pinecones on Mars won"
"rock","6173374","paper","8861767","Pinecones on Mars won"
"rock","3106277","paper","8971495","Pinecones on Mars won"
"rock","6626845","paper","9332140","Pinecones on Mars won"
"rock","6266372","paper","8994938","Pinecones on Mars won"
"rock","6328809","paper","9077361","Pinecones on Mars won"
"rock","6230912","paper","9151559","Pinecones on Mars won"
"rock","6158042","paper","8941464","Pinecones on Mars won"
"rock","6242468","paper","9022009","Pinecones on Mars won"
"rock","6128577","paper","8929917","Pinecones on Mars won"
"rock","6375808","paper","9635899","Pinecones on Mars won"
"rock","4046002","paper","10829092","Pinecones on Mars won"
"rock","3839387","paper","6669693","Pinecones on Mars won"
"rock","9335699","paper","9098995","Pinecones on Mars won"
"rock","6355419","paper","9222335","Pinecones on Mars won"
"rock","6181481","paper","9082351","Pinecones on Mars won"
