"ChainReaction","JesseThoughtOfMyTeamAndClientNames","The winner is ChainReaction"
"587","268","145"
"rock","25192809","paper","20202174","JesseThoughtOfMyTeamAndClientNames won"
"scissors","11688489","scissors","11181587","Tie"
"rock","15457134","scissors","14962384","ChainReaction won"
"rock","8178108","paper","7654168","JesseThoughtOfMyTeamAndClientNames won"
"rock","8923087","paper","8428909","JesseThoughtOfMyTeamAndClientNames won"
"scissors","5918458","paper","5450312","ChainReaction won"
"scissors","11787906","paper","11272334","ChainReaction won"
"scissors","8612457","paper","8108266","ChainReaction won"
"scissors","12686048","paper","12196181","ChainReaction won"
"scissors","8731603","rock","8234340","JesseThoughtOfMyTeamAndClientNames won"
"rock","10252102","rock","9750949","Tie"
"rock","14001222","rock","13505775","Tie"
"paper","9648952","paper","9081165","Tie"
"rock","5160602","paper","4703784","JesseThoughtOfMyTeamAndClientNames won"
"scissors","12093558","paper","11606658","ChainReaction won"
"scissors","8442820","paper","7810659","ChainReaction won"
"scissors","7682069","rock","7212806","JesseThoughtOfMyTeamAndClientNames won"
"paper","5422164","rock","5677558","ChainReaction won"
"rock","8454838","rock","7970253","Tie"
"paper","6923821","rock","7187020","ChainReaction won"
"paper","7338250","rock","6849716","ChainReaction won"
"paper","9527634","rock","9038851","ChainReaction won"
"paper","5855411","rock","5389452","ChainReaction won"
"paper","10662863","rock","10173823","ChainReaction won"
"paper","8433635","scissors","7934448","JesseThoughtOfMyTeamAndClientNames won"
"rock","10136849","paper","9642780","JesseThoughtOfMyTeamAndClientNames won"
"scissors","10559666","rock","10020139","JesseThoughtOfMyTeamAndClientNames won"
"paper","3685903","scissors","4454156","JesseThoughtOfMyTeamAndClientNames won"
"scissors","13002453","paper","12508915","ChainReaction won"
"scissors","12526869","rock","12030551","JesseThoughtOfMyTeamAndClientNames won"
"paper","5689940","scissors","5942964","JesseThoughtOfMyTeamAndClientNames won"
"scissors","7525691","paper","7056421","ChainReaction won"
"scissors","4810399","rock","5067133","JesseThoughtOfMyTeamAndClientNames won"
"rock","6794282","rock","7607843","Tie"
"paper","8676915","rock","8171787","ChainReaction won"
"paper","8098053","rock","7571594","ChainReaction won"
"paper","5262909","rock","5522419","ChainReaction won"
"paper","16018372","rock","15524977","ChainReaction won"
"paper","4786827","scissors","5049299","JesseThoughtOfMyTeamAndClientNames won"
"scissors","8209473","scissors","7721801","Tie"
"rock","6879082","scissors","6607023","ChainReaction won"
"rock","4619770","scissors","4342608","ChainReaction won"
