"BeatLast","HaiCat","The winner is BeatLast"
"999","1","0"
"paper","3926319","rock","4369539","BeatLast won"
"paper","4543925","rock","5035196","BeatLast won"
"paper","4497226","rock","4939003","BeatLast won"
"paper","4608573","rock","5052742","BeatLast won"
"paper","3385350","rock","3833974","BeatLast won"
"paper","5681440","rock","6135869","BeatLast won"
"paper","4573792","rock","5017103","BeatLast won"
"paper","4565166","rock","5005159","BeatLast won"
"paper","5873691","rock","7755415","BeatLast won"
"paper","5564717","rock","5984319","BeatLast won"
"paper","3631439","rock","4049717","BeatLast won"
"paper","5553458","rock","5972079","BeatLast won"
"paper","4612786","rock","5052109","BeatLast won"
"paper","2968113","rock","4196348","BeatLast won"
"paper","3726385","rock","4171215","BeatLast won"
"paper","4475145","rock","4921237","BeatLast won"
"paper","12378792","rock","12655215","BeatLast won"
"paper","4434636","rock","4879542","BeatLast won"
"paper","4581117","rock","5032300","BeatLast won"
"paper","4562778","rock","5012988","BeatLast won"
"paper","4148908","rock","4766912","BeatLast won"
"paper","4926248","rock","6381306","BeatLast won"
"paper","5296829","rock","5937421","BeatLast won"
"paper","6123105","rock","6176549","BeatLast won"
"paper","4377085","rock","4998520","BeatLast won"
"paper","4380393","rock","5006254","BeatLast won"
"paper","4297871","rock","4916105","BeatLast won"
"paper","5200407","rock","5255405","BeatLast won"
"paper","4849201","rock","4904024","BeatLast won"
"paper","4909099","rock","5538463","BeatLast won"
"paper","4063409","rock","4690621","BeatLast won"
"paper","4337458","rock","4976682","BeatLast won"
"paper","4274548","rock","4894123","BeatLast won"
"paper","4351609","rock","4976973","BeatLast won"
"paper","3343369","rock","3971995","BeatLast won"
"paper","5374429","rock","6019288","BeatLast won"
"paper","8338007","rock","8996051","BeatLast won"
"paper","4282318","rock","4909111","BeatLast won"
"paper","4367618","rock","5001635","BeatLast won"
"paper","4304841","rock","4936689","BeatLast won"
"paper","3543107","rock","8631667","BeatLast won"
"paper","4695799","rock","5294826","BeatLast won"
"paper","4441495","rock","5068675","BeatLast won"
"paper","4341923","rock","4972485","BeatLast won"
"paper","4352330","rock","4976866","BeatLast won"
"paper","4267956","rock","4892990","BeatLast won"
"paper","13863133","rock","13377377","BeatLast won"
"paper","6341291","rock","6397423","BeatLast won"
"paper","4325726","rock","4945601","BeatLast won"
"paper","4655250","rock","4373777","BeatLast won"
"paper","4403996","rock","5025796","BeatLast won"
"paper","4375119","rock","4967368","BeatLast won"
"paper","4667470","rock","4377545","BeatLast won"
"paper","4439355","rock","5293490","BeatLast won"
"paper","4123267","rock","4716541","BeatLast won"
"paper","3109078","rock","7032489","BeatLast won"
"paper","6364378","rock","6957864","BeatLast won"
"paper","4388981","rock","4985642","BeatLast won"
"paper","5793279","rock","7823759","BeatLast won"
"paper","5472556","rock","6105217","BeatLast won"
"paper","4678074","rock","4252809","BeatLast won"
"paper","4394935","rock","4145813","BeatLast won"
"paper","5174380","rock","5592232","BeatLast won"
"paper","4641667","rock","5087218","BeatLast won"
"paper","4556090","rock","4977806","BeatLast won"
"paper","3843152","rock","4905882","BeatLast won"
"paper","3660145","rock","4072353","BeatLast won"
"paper","4326471","rock","4801855","BeatLast won"
"paper","4849454","rock","5291512","BeatLast won"
