"Avalanch","hummingbird","Clients TIE!"
"0","1","999"
"rock","5275518","rock","631634","Tie"
"rock","4987491","rock","665460","Tie"
"rock","5482633","rock","793526","Tie"
"rock","5202906","rock","604793","Tie"
"rock","5319881","rock","614491","Tie"
"rock","5443248","rock","687772","Tie"
"rock","5222030","rock","614517","Tie"
"rock","3585815","rock","759324","Tie"
"rock","6918721","rock","631203","Tie"
"rock","5275709","rock","612228","Tie"
"rock","9256192","rock","607347","Tie"
"rock","10172223","rock","709218","Tie"
"rock","4284523","rock","591408","Tie"
"rock","5198560","rock","679830","Tie"
"rock","5271886","rock","684459","Tie"
"rock","4995844","rock","643576","Tie"
"rock","5084323","rock","651560","Tie"
"rock","5482305","rock","689505","Tie"
"rock","4975974","rock","639655","Tie"
"rock","5091847","rock","698682","Tie"
"rock","4986844","rock","658996","Tie"
"rock","5050825","rock","646216","Tie"
"rock","3015296","rock","675334","Tie"
"rock","7742581","rock","670073","Tie"
"rock","4993981","rock","667354","Tie"
"rock","5314942","rock","645117","Tie"
"rock","4790902","rock","698165","Tie"
"rock","5056609","rock","653622","Tie"
"rock","5028436","rock","643971","Tie"
"rock","6429716","rock","767376","Tie"
"rock","3638928","rock","679614","Tie"
"rock","5478251","rock","643668","Tie"
"rock","3110889","rock","675857","Tie"
"rock","7207626","rock","641466","Tie"
"rock","5072843","rock","626056","Tie"
"rock","5123195","rock","629917","Tie"
"rock","5115051","rock","623309","Tie"
"rock","4892302","rock","675050","Tie"
"rock","4991081","rock","760456","Tie"
"rock","5044417","rock","653547","Tie"
"rock","5062981","rock","642883","Tie"
"rock","5049496","rock","647755","Tie"
"rock","7751675","rock","716165","Tie"
"rock","11269044","rock","660114","Tie"
"rock","6907334","rock","750412","Tie"
"rock","4999687","rock","645914","Tie"
"rock","5095640","rock","643796","Tie"
"rock","5076970","rock","752516","Tie"
"rock","5283182","rock","762011","Tie"
"rock","4158554","rock","796040","Tie"
"rock","3439898","rock","706939","Tie"
"rock","6409158","rock","640248","Tie"
"rock","4002403","rock","618025","Tie"
