"pinky","hummingbird","Clients TIE!"
"1","3","996"
"scissors","14350494","scissors","4409673","Tie"
"scissors","13397033","scissors","5347044","Tie"
"scissors","10490864","scissors","3077912","Tie"
"scissors","10082429","scissors","1853726","Tie"
"scissors","12615755","scissors","4569244","Tie"
"scissors","9345898","scissors","9332561","Tie"
"scissors","10050142","scissors","3087997","Tie"
"scissors","16425811","scissors","2864850","Tie"
"scissors","9702098","scissors","1702574","Tie"
"scissors","9163634","scissors","4961342","Tie"
"scissors","8744466","scissors","8731925","Tie"
"scissors","9304159","scissors","5288273","Tie"
"scissors","9056451","scissors","4987432","Tie"
"scissors","9176719","scissors","4956067","Tie"
"scissors","11428491","scissors","4751865","Tie"
"scissors","10007950","scissors","2017347","Tie"
"scissors","9365419","scissors","9352255","Tie"
"scissors","16697892","scissors","2884643","Tie"
"scissors","13281675","scissors","5257065","Tie"
"scissors","7405391","scissors","4957667","Tie"
"scissors","12092283","scissors","4083184","Tie"
"scissors","13788471","scissors","5313089","Tie"
"scissors","11642710","scissors","2658851","Tie"
"scissors","10074349","scissors","1854025","Tie"
"scissors","13429472","scissors","4608714","Tie"
"scissors","7919565","scissors","4103704","Tie"
"scissors","9915297","scissors","1763862","Tie"
"scissors","8587342","scissors","5073847","Tie"
"scissors","10149841","scissors","2101195","Tie"
"scissors","9418311","scissors","5096649","Tie"
"scissors","11413609","scissors","3321547","Tie"
"scissors","9569392","scissors","5420188","Tie"
"scissors","7811974","scissors","2815817","Tie"
"scissors","11316343","scissors","2580624","Tie"
"scissors","10763877","scissors","1508094","Tie"
"scissors","9783689","scissors","1786898","Tie"
"scissors","6931539","scissors","5179627","Tie"
"scissors","11467481","scissors","3432772","Tie"
"scissors","11887092","scissors","3130808","Tie"
"scissors","9148432","scissors","1970995","Tie"
"scissors","12357411","scissors","2492188","Tie"
"scissors","10149798","scissors","1761551","Tie"
"scissors","9357064","scissors","2972880","Tie"
"scissors","12830877","scissors","12818320","Tie"
