"BeatLast","Pinecones on Mars","Clients TIE!"
"311","349","340"
"scissors","12076592","rock","10809260","Pinecones on Mars won"
"paper","13016724","scissors","15228512","Pinecones on Mars won"
"rock","7679024","scissors","8243593","BeatLast won"
"rock","16638469","paper","17238398","Pinecones on Mars won"
"scissors","11642747","rock","12273700","Pinecones on Mars won"
"paper","11258271","rock","11845466","BeatLast won"
"paper","4434104","rock","4982215","BeatLast won"
"paper","11791327","rock","12360439","BeatLast won"
"paper","12249650","rock","12849200","BeatLast won"
"paper","9661156","paper","10288755","Tie"
"scissors","13905047","paper","14470993","BeatLast won"
"scissors","9222056","paper","9795767","BeatLast won"
"scissors","9342762","rock","9916887","Pinecones on Mars won"
"paper","10178091","paper","10744478","Tie"
"scissors","10724318","scissors","11320359","Tie"
"rock","8449982","paper","8510268","Pinecones on Mars won"
"scissors","9986653","rock","10595416","Pinecones on Mars won"
"paper","5061275","scissors","5757286","Pinecones on Mars won"
"rock","8222718","rock","7933414","Tie"
"paper","7143089","scissors","7684270","Pinecones on Mars won"
"rock","16372561","rock","16938780","Tie"
"paper","8137030","rock","8706136","BeatLast won"
"paper","10069537","rock","10644919","BeatLast won"
"paper","7461061","paper","8054397","Tie"
"scissors","9054916","scissors","8995771","Tie"
"rock","10859889","paper","11835112","Pinecones on Mars won"
"scissors","7724366","scissors","11804010","Tie"
"rock","19965738","rock","20038160","Tie"
"paper","7869222","paper","7584700","Tie"
"scissors","5571466","paper","6093786","BeatLast won"
"scissors","3966250","scissors","3314932","Tie"
"rock","8388401","rock","8952696","Tie"
"paper","4979455","scissors","4697104","Pinecones on Mars won"
"rock","3857152","rock","9719143","Tie"
"paper","6944410","scissors","7500643","Pinecones on Mars won"
"rock","5785597","rock","5493193","Tie"
"paper","3714080","rock","4233229","BeatLast won"
"paper","11486898","paper","11560588","Tie"
"scissors","9162127","paper","9175640","BeatLast won"
"scissors","15766797","scissors","16331777","Tie"
"rock","9002816","scissors","9589922","BeatLast won"
"rock","11506482","scissors","12130596","BeatLast won"
"rock","11182019","rock","11739038","Tie"
"paper","11065384","scissors","11633803","Pinecones on Mars won"
"rock","7793171","scissors","8359591","BeatLast won"
"rock","10859139","paper","10887105","Pinecones on Mars won"
"scissors","11688121","rock","10249806","Pinecones on Mars won"
"paper","9616180","paper","10167051","Tie"
"scissors","8029605","rock","8584581","Pinecones on Mars won"
"paper","15616212","scissors","16165470","Pinecones on Mars won"
"rock","8291615","rock","8859431","Tie"
"paper","14907017","scissors","15478168","Pinecones on Mars won"
"rock","10601686","paper","10659238","Pinecones on Mars won"
"scissors","7078902","rock","7615855","Pinecones on Mars won"
"paper","8329607","scissors","8385359","Pinecones on Mars won"
"rock","7992079","rock","7667942","Tie"
"paper","5218553","rock","5879541","BeatLast won"
"paper","7532628","rock","6789075","BeatLast won"
"paper","6420584","paper","6948364","Tie"
"scissors","11263602","rock","10972207","Pinecones on Mars won"
"paper","5632822","scissors","6198129","Pinecones on Mars won"
"rock","8386405","rock","8080169","Tie"
"paper","4735136","scissors","5282079","Pinecones on Mars won"
"rock","5761374","scissors","5293185","BeatLast won"
"rock","9088254","rock","9144744","Tie"
"paper","8145368","paper","8708180","Tie"
"scissors","8199411","paper","8212945","BeatLast won"
"scissors","10461538","scissors","11026234","Tie"
"rock","11616108","paper","12178927","Pinecones on Mars won"
"scissors","10419122","scissors","10970898","Tie"
"rock","10781203","paper","11340989","Pinecones on Mars won"
"scissors","10947641","paper","11498703","BeatLast won"
"scissors","11124791","paper","11180908","BeatLast won"
"scissors","5327189","paper","5340420","BeatLast won"
"scissors","9318028","rock","9870870","Pinecones on Mars won"
"paper","11174993","paper","11729292","Tie"
"scissors","5388313","rock","5942545","Pinecones on Mars won"
"paper","5710784","paper","6243467","Tie"
"scissors","5585541","paper","6113393","BeatLast won"
"scissors","7690150","scissors","8251056","Tie"
"rock","4407992","paper","4941626","Pinecones on Mars won"
"scissors","10576492","paper","11122713","BeatLast won"
"scissors","10809534","paper","11363663","BeatLast won"
"scissors","9523815","scissors","10081828","Tie"
"rock","12820018","scissors","13376873","BeatLast won"
"rock","10260353","rock","10828033","Tie"
"paper","9258731","rock","9933988","BeatLast won"
"paper","7757775","rock","7466874","BeatLast won"
"paper","10282573","rock","9985338","BeatLast won"
"paper","7730819","paper","7440367","Tie"
"scissors","11249466","paper","11793587","BeatLast won"
"scissors","8271447","rock","7977584","Pinecones on Mars won"
"paper","7863741","scissors","7570535","Pinecones on Mars won"
"rock","8331789","paper","8275575","Pinecones on Mars won"
"scissors","8917448","rock","8624908","Pinecones on Mars won"
"paper","9949390","paper","9935658","Tie"
"scissors","11131589","scissors","11662621","Tie"
"rock","10133565","scissors","10686919","BeatLast won"
"rock","9576713","paper","13626714","Pinecones on Mars won"
"scissors","12457523","scissors","12514442","Tie"
"rock","10224430","rock","10297620","Tie"
"paper","8371037","paper","9121857","Tie"
"scissors","8669052","rock","9224009","Pinecones on Mars won"
"paper","9417218","paper","9124174","Tie"
"scissors","8113257","scissors","7815527","Tie"
"rock","9027268","paper","9589084","Pinecones on Mars won"
"scissors","7554328","rock","7253801","Pinecones on Mars won"
"paper","8483083","scissors","9023690","Pinecones on Mars won"
"rock","8090167","paper","8685524","Pinecones on Mars won"
"scissors","8407555","rock","9067603","Pinecones on Mars won"
"paper","8300993","scissors","9082925","Pinecones on Mars won"
"rock","9871064","paper","9578366","Pinecones on Mars won"
"scissors","8538605","rock","8245318","Pinecones on Mars won"
"paper","10548343","scissors","11110377","Pinecones on Mars won"
"rock","6726487","scissors","7290970","BeatLast won"
"rock","12430246","rock","12988039","Tie"
"paper","13159014","paper","13716309","Tie"
"scissors","10014097","scissors","10570327","Tie"
"rock","9172021","paper","9231145","Pinecones on Mars won"
"scissors","8603980","scissors","9145823","Tie"
"rock","8815514","scissors","9355502","BeatLast won"
"rock","7896739","paper","8966625","Pinecones on Mars won"
"scissors","8386615","rock","8947433","Pinecones on Mars won"
"paper","20311279","paper","20385849","Tie"
"scissors","10227703","paper","10782985","BeatLast won"
"scissors","10752562","rock","11305626","Pinecones on Mars won"
"paper","9437648","paper","9991996","Tie"
"scissors","13017554","scissors","13550155","Tie"
"rock","11254547","paper","11919280","Pinecones on Mars won"
"scissors","5707205","rock","6238154","Pinecones on Mars won"
"paper","11919822","rock","11452207","BeatLast won"
"paper","10800847","scissors","10787603","Pinecones on Mars won"
"rock","14457870","paper","15184121","Pinecones on Mars won"
"scissors","8025201","rock","8797968","Pinecones on Mars won"
"paper","6448590","scissors","9624135","Pinecones on Mars won"
"rock","7005949","scissors","7720254","BeatLast won"
"rock","8981967","rock","9757208","Tie"
"paper","8541625","scissors","8217787","Pinecones on Mars won"
"rock","7921862","rock","8910189","Tie"
"paper","8224712","rock","8964551","BeatLast won"
"paper","10701511","rock","10764419","BeatLast won"
"paper","7790575","scissors","7494861","Pinecones on Mars won"
"rock","9167134","scissors","8870461","BeatLast won"
"rock","7925578","rock","8660439","Tie"
"paper","8928931","paper","10062176","Tie"
"scissors","8832276","rock","7184226","Pinecones on Mars won"
"paper","10109071","scissors","9826812","Pinecones on Mars won"
"rock","6827872","rock","8667686","Tie"
"paper","8191880","paper","7919516","Tie"
"scissors","8184307","scissors","7912446","Tie"
"rock","7545384","paper","7249422","Pinecones on Mars won"
"scissors","8821331","scissors","8525049","Tie"
"rock","9062533","paper","8732141","Pinecones on Mars won"
"scissors","7899401","paper","8660531","BeatLast won"
"scissors","8797598","rock","8502356","Pinecones on Mars won"
"paper","10398877","scissors","10105505","Pinecones on Mars won"
